Merchant Name,Category Name,c. Total Coupons
Lenovo,Computers & Accessories,131
Anker,Consumer Electronics,103
Vitacost,Health Care,91
Ebay,Department Stores,85
Walgreens,Health & Beauty,67
Sephora,Beauty & Cosmetics,60
AliExpress,Department Stores,51
Samsung,Consumer Electronics,48
Crocs,Shoes,36
Kohl's,Department Stores,36
JCPenney,Department Stores,33
Gap,Clothing & Apparel,32
Converse,Shoes,30
Ticketmaster,Event Tickets,27
Estee Lauder,Health & Beauty,24
MacPaw,Software,22
Petco,Animals & Pet Supplies,22
Under Armour,Athletics,21
Skechers,Shoes,20
Office Depot,Office,19
GNC,Vitamins & Supplements,19
Chewy,Animals & Pet Supplies,19
NIKE,Sporting Goods,18
Groupon,Local Deals,16
Overstock,Household,15
HP ,Computers & Accessories,15
Bloomingdale's,Department Stores,15
StubHub,Event Tickets,14
New Balance,Clothing & Apparel,13
PUMA,Athletics,13
Reibii,Household,12
Clinique,Health & Beauty,12
MAC Cosmetics,Beauty & Cosmetics,12
J.Crew Factory,Clothing & Apparel,10
Food Huggers,Kitchen & Dining,10
Priceline,Travel,10
Vitamin Shoppe,Vitamins & Supplements,10
UGG,Shoes,10
Newegg,Computers & Accessories,10
Reebok,Clothing & Apparel,9
Dr. Martens,Shoes,9
DoorDash,Food & Gourmet,9
Macy's,Department Stores,8
Staples,Office,8
AnkerSOLIX,Hardware,7
Anthropologie,Household,7
Levi's,Clothing & Apparel,7
Dell Home & Home Office,Computers & Accessories,7
Reitmans,Clothing & Apparel,7
CVS,Health & Beauty,6
Old Navy,Clothing & Apparel,6
Expedia,Travel,6
NAPA,Motor Vehicle Parts,6
Walmart,Department Stores,6
Carhartt,Clothing & Apparel,6
Best Buy,Consumer Electronics,6
Clarks,Shoes,6
Oxygen Machine,Health Care,5
Sovereign Laboratories LLC,Vitamins & Supplements,5
Run United,Clothing & Apparel,4
Ultahost,Web Hosting & Domains,4
Solgaard,Luggage & Bags,4
Cabela's,Outdoor Recreation,4
Lowe's,Hardware,4
Delta Extrax,CBD,4
Vans,Shoes,4
Sam's Club,Department Stores,4
PetSmart,Animals & Pet Supplies,3
LG Electronics,Consumer Electronics,3
Delta XL,e-Cigarettes & Vaporizers,3
adidas,Athletics,3
Laptop Battery Express,Laptop Accessories,3
Carson Dellosa Education,Education,3
Free People,Clothing & Apparel,3
HelloFresh,Food & Gourmet,3
Dick's Sporting Goods,Sporting Goods,3
Cupshe,Women,3
Mac Duggal,Women,2
Dell Refurbished,Computers & Accessories,2
Maui Gold Pineapple,Food & Gourmet,2
Sonrei,Health & Beauty,2
Joes New Balance Outlet,Shoes,2
Hammacher Schlemmer,Household,2
Gap Factory,Clothing & Apparel,2
Home Depot,Household,2
DreamCloud,Bed & Bath,2
Reistor,Clothing & Apparel,2
"SEYMAC CO.,LTD",Consumer Services,2
Marriott,Hotel,2
Reima,Baby & Kids,1
Brondell,Household,1
Lighting Reimagined,Lighting,1
Victory Tailgate,Outdoor Recreation,1
Mac's Tie-Downs,Vehicle Safety & Security,1
United Apparels,Accessories,1
Evan Evans Tours,Tours,1
Mac of all Trades,Computers & Accessories,1
Luggage Online,Luggage & Bags,1
Delta Beverages,CBD,1
Irv's Luggage,Luggage & Bags,1
Blue Apron,Food & Gourmet,1
Apple Forms,Office,1
BlindsExpress.com,Household,1
Betsy & Adam,Clothing & Apparel,1
Apples of Gold,Jewelry,1
Target Optical,Contacts & Glasses,1
Electronic Express,Consumer Services,1
World Pet Express,Animals & Pet Supplies,1
Wrangler,Clothing & Apparel,1
Apple Vacations,Travel,1
Pretty Rugged,Consumer Services,1
Macondo Forever,Home Decor,1
Macorner,Gifts,1
